time (h),Upper Bound,Lower Bound
1,0.06719075489111813,0.0
2,0.09423969306406005,0.0
3,0.11522473041589186,0.0
4,0.13372495945547347,0.0
5,0.15109888940828062,0.0
6,0.16807467844213997,0.0
7,0.18638319957309787,0.0
8,0.20711901178744463,0.0
9,0.26278434533647865,0.0
10,0.32669829741278633,0.0
11,0.43876820309257136,0.005606854301734521
12,0.577540436994207,0.1251187390474756
13,0.5867770296933383,0.11588214634834429
14,0.8076362709312239,0.31896611550364895
15,1.0247576233019504,0.5189366046319333
16,1.1432440454747996,0.6208351179970582
17,1.2146703358554793,0.6761844996547746
18,1.2425912752799126,0.6884950960624285
19,1.2785682141261874,0.7092898428959074
20,1.2859618351153264,0.7018962219067684
21,1.2931726713941785,0.6946853856279163
22,1.3002137738424562,0.6876442831796385
23,1.3070969667671035,0.6807610902549912
