time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
1.5895318984985352,2,206,2770,5126,4963,4372,1565,2693,1980,1491,957
3.6674633026123047,3,9861,65535,36550,65535,65535,14832,65535,65535,65535,28380
5.750151872634888,4,117,230,1695,3581,1782,439,622,649,535,350
7.837864875793457,1,181,1397,4246,4540,3277,792,1540,1717,1275,747
9.919278383255005,2,204,2762,5054,4894,4372,1547,2687,1976,1486,955
12.038625478744507,3,9835,65535,36427,65535,65535,14750,65535,65535,65535,28363
14.079849004745483,4,116,224,848,664,1756,443,619,647,529,347
16.16406750679016,1,178,1395,4100,4264,3274,768,1540,1715,1276,742
18.2796630859375,2,210,2763,5126,4322,4363,1565,2692,1976,1485,954
20.327461004257202,3,9807,65535,35735,65535,65535,14704,65535,65535,65535,28355
22.410038948059082,4,114,228,1946,2146,1748,443,616,644,528,343
24.493525981903076,1,177,1397,4157,3628,3272,787,1538,1717,1274,743
26.579433917999268,2,210,2764,5020,4721,4361,1527,2688,1974,1484,956
28.6715350151062,3,9802,65535,36300,65487,65535,14640,65535,65535,65535,28273
30.74002504348755,4,109,230,3465,407,1747,438,615,644,531,341
32.823551177978516,1,178,1395,4195,4394,3267,787,1538,1712,1275,745
34.92668080329895,2,210,2761,5055,4907,4364,1534,2685,1974,1489,957
36.98771953582764,3,9793,65535,36334,65495,65535,14679,65535,65535,65535,28306
39.07019281387329,4,116,229,2192,1746,1761,441,618,649,528,347
41.1532928943634,1,182,1399,4237,3801,3273,794,1539,1717,1275,744
43.25116467475891,2,206,2755,4628,4717,4361,1535,2681,1971,1483,956
45.31772208213806,3,9813,65535,36375,65487,65535,14700,65535,65535,65535,28308
47.39925694465637,4,111,226,1416,3720,1766,453,618,646,531,349
49.51949453353882,1,176,1391,4136,4293,3266,784,1533,1712,1270,741
51.57854866981506,2,208,2756,5137,4848,4358,1569,2687,1972,1481,955
53.64745306968689,3,9780,65535,36240,65354,65535,14627,65535,65535,65535,28237
55.72963213920593,4,115,229,3059,3202,1772,442,616,647,533,347
57.8239963054657,1,176,1390,4114,4389,3265,767,1537,1713,1274,741
59.89908814430237,2,203,2758,5067,4923,4358,1549,2683,1973,1487,958
61.97769522666931,3,9777,65535,36252,65338,65535,14607,65535,65535,65535,28216
64.09295463562012,4,114,228,3457,2090,1769,441,623,654,534,352
66.14361834526062,1,178,1395,4148,4417,3265,773,1536,1709,1272,741
68.22910022735596,2,210,2753,2751,4712,4354,1548,2680,1973,1483,957
70.30738973617554,3,9753,65535,36168,65275,65535,14582,65535,65535,65535,28190
72.38913226127625,4,118,224,3028,2112,1777,452,625,652,537,351
74.50638818740845,1,176,1395,4254,4133,3264,787,1535,1710,1273,742
76.55894899368286,2,208,2757,5052,4904,4352,1537,2683,1971,1486,957
78.63722229003906,3,9774,65535,36233,65356,65535,14675,65535,65535,65535,28249
80.74381923675537,4,114,222,513,773,1775,447,625,652,537,349
82.80351233482361,1,175,1387,4096,4371,3259,763,1534,1711,1271,742
84.88921451568604,2,205,2754,4963,4813,4352,1507,2682,1968,1481,953
86.99050545692444,3,9761,65535,36232,65293,65535,14620,65535,65535,65509,28201
89.04875183105469,4,113,224,2309,3699,1775,457,623,652,535,350
91.13249707221985,1,180,1389,4070,4284,3261,768,1533,1709,1270,742
93.22162437438965,2,204,2762,5103,3852,4351,1555,2679,1970,1481,956
95.29702377319336,3,9766,65535,36238,65318,65535,14655,65535,65535,65504,28236
97.37934684753418,4,111,216,3481,3572,1758,448,619,646,532,349
99.47802782058716,1,179,1387,4144,4411,3260,772,1531,1706,1273,740
101.54837393760681,2,208,2756,5155,2677,4354,1573,2681,1968,1483,955
103.62771415710449,3,9758,65535,36209,65251,65535,14651,65535,65535,65397,28187
105.7167580127716,4,109,231,3520,325,1777,453,625,654,536,349
107.79294681549072,1,178,1384,4162,4441,3257,779,1531,1706,1269,742
109.87881636619568,2,210,2752,1976,2848,4355,1544,2681,1969,1484,954
111.95777606964111,3,9769,65535,36225,65239,65535,14622,65535,65535,65494,28193
114.03923153877258,4,116,236,2252,3589,1823,455,636,666,547,364
116.12266898155212,1,177,1392,4248,1326,3261,800,1532,1709,1271,740
118.20803809165955,2,204,2756,5121,4910,4355,1559,2681,1970,1483,957
120.28702640533447,3,9756,65535,36187,65237,65535,14603,65535,65535,65454,28177
122.36902928352356,4,117,234,2529,1275,1828,468,638,667,549,362
124.45393824577332,1,178,1388,847,4392,3255,770,1534,1708,1268,743
126.5385217666626,2,209,2753,2926,3133,4357,1525,2682,1971,1484,958
128.6166591644287,3,9731,65535,36135,65179,65535,14551,65535,65535,65400,28127
130.69915080070496,4,118,231,3516,3579,1846,476,642,670,551,370
132.7830948829651,1,174,1395,4078,4353,3259,766,1533,1711,1268,744
134.8684060573578,2,208,2753,5001,4856,4354,1506,2677,1969,1484,959
136.94654488563538,3,9777,65535,36222,65186,65535,14727,65535,65535,65347,28129
139.04331612586975,4,118,238,3498,2424,1854,466,644,674,555,369
141.11180639266968,1,178,1385,4148,4294,3260,777,1533,1708,1273,742
143.19853615760803,2,204,2753,5084,4937,4358,1558,2682,1970,1484,953
145.30411982536316,3,9734,65535,36130,65130,65535,14547,65535,65535,65368,28117
147.35887360572815,4,116,236,3049,3635,1859,479,640,669,554,370
149.44260501861572,1,179,1383,3592,4479,3260,780,1531,1704,1270,740
151.52737545967102,2,209,2754,5102,3678,4350,1563,2678,1964,1478,956
153.60674476623535,3,9747,65535,36163,65156,65535,14638,65535,65535,65248,28139
155.7116105556488,4,118,240,3485,3584,1864,466,646,675,558,376
157.77175998687744,1,179,1391,4164,4330,3257,774,1531,1706,1268,742
159.85849165916443,2,210,2752,5067,4906,4352,1546,2677,1967,1480,956
161.9368748664856,3,9740,65535,36137,65119,65535,14584,65535,65535,65333,28131
164.01827359199524,4,123,238,2353,1132,1849,471,640,666,551,372
166.10255980491638,1,180,1392,4196,4452,3258,790,1533,1708,1269,741
168.20419836044312,2,205,2752,4572,4553,4353,1584,2676,1968,1482,958
170.26604318618774,3,9767,65535,36230,65152,65535,14684,65535,65535,65318,28127
172.34863257408142,4,121,244,414,3642,1917,495,654,682,564,391
174.43250441551208,1,178,1385,4160,2755,3266,783,1533,1712,1274,745
176.51799821853638,2,204,2755,5089,4685,4363,1558,2681,1971,1487,958
178.61303734779358,3,9732,65535,36146,65183,65535,14561,65535,65535,65372,28161
180.6785500049591,4,127,248,996,3566,1992,504,674,701,583,407
182.7622253894806,1,177,1393,4144,4322,3275,774,1537,1711,1275,745
184.8478615283966,2,210,2756,5191,5046,4394,1597,2689,1980,1493,968
186.9262409210205,3,9744,65535,36151,65173,65535,14590,65535,65535,65340,28186
189.00980305671692,4,126,247,3527,3629,1966,509,665,695,575,393
191.09241104125977,1,175,1389,887,3707,3271,772,1534,1709,1271,742
193.17709803581238,2,209,2751,5133,3830,4358,1573,2682,1968,1483,956
195.25691533088684,3,9735,65535,36133,65091,65535,14596,65535,65535,65247,28113
197.3383674621582,4,122,234,824,3326,1867,463,647,675,557,371
199.42258548736572,1,178,1395,1669,3603,3261,776,1531,1710,1268,742
201.5170078277588,2,207,2751,5082,3199,4349,1539,2677,1965,1482,953
203.58659076690674,3,9730,65535,36121,65075,65535,14598,65535,65535,65226,28096
205.66859769821167,4,117,239,3480,845,1836,453,636,666,550,363
207.76348876953125,1,174,1386,4074,4356,3254,755,1532,1704,1268,742
