time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
1.2315492630004883,4,702,4863,5283,6991,20139,2700,4725,5706,3753,1707
3.302426815032959,1,9869,65535,31066,63437,65535,11667,65535,48359,61864,28627
5.3821587562561035,2,9925,65535,31846,65535,65535,13119,65535,65535,64663,28791
7.4593119621276855,3,7146,65535,29787,55600,65535,11280,65535,65535,50776,28403
9.54310393333435,4,699,4872,5320,7047,20146,2751,4724,5710,3751,1710
11.632389068603516,1,9878,65535,31080,63420,65535,11719,65535,48308,61825,28586
13.725128650665283,2,9911,65535,31825,65535,65535,13127,65535,65535,64679,28803
15.789597988128662,3,7175,65535,29888,54698,65535,11362,65535,65535,50874,28457
17.87304663658142,4,698,4870,5433,7010,20140,2718,4723,5700,3745,1708
19.962453842163086,1,9882,65535,31072,63442,65535,11701,65535,48329,61928,28612
22.042441844940186,2,9928,65535,31881,65535,65535,13138,65535,65535,64695,28828
24.149933099746704,3,7155,65535,29799,55630,65535,11277,65535,65535,50788,28425
26.202832221984863,4,698,4861,5518,6149,20037,2775,4712,5686,3736,1700
28.293646812438965,1,9863,65535,31026,63063,65535,11672,65535,48337,61805,28608
30.376571893692017,2,9899,65535,31775,65535,65535,13063,65535,65535,64652,28767
32.45008182525635,3,7140,65535,29451,55589,65535,11205,65535,65535,50768,28418
34.5330376625061,4,696,4854,5516,6571,20021,2778,4706,5682,3733,1699
36.63744592666626,1,9846,65535,31003,63343,65535,11635,65535,48269,61777,28587
38.70219659805298,2,9937,65535,31874,65535,65535,13147,65535,65535,64623,28829
40.7797532081604,3,7154,65535,29806,55636,65535,11255,65535,65535,50783,28389
42.89448547363281,4,697,4864,5426,7006,20086,2714,4715,5691,3740,1704
44.952144145965576,1,9873,65535,31052,63395,65535,11694,65535,48291,61830,28586
47.03199601173401,2,9896,65535,31736,65535,65535,13028,65535,65535,64535,28802
49.12788462638855,3,7158,65535,29823,55607,65535,11335,65535,65535,50732,28407
51.19232726097107,4,700,4858,5535,5326,20030,2785,4707,5677,3735,1696
53.282475233078,1,9863,65535,31066,63407,65535,11690,65535,48278,61801,28570
55.36301112174988,2,9931,65535,31885,65535,65535,13166,65535,65535,64546,28791
57.43856191635132,3,7152,65535,29827,55624,65535,11313,65535,65535,50726,28371
59.52349591255188,4,696,4859,5435,7000,20041,2712,4707,5685,3735,1701
61.612632274627686,1,9838,65535,30957,63327,65535,11593,65535,48262,61778,28576
63.6943473815918,2,9892,65535,31719,65535,65535,12998,65535,65535,64560,28793
65.77000427246094,3,7130,65535,29706,55612,65535,11160,65535,65535,50782,28415
67.85282588005066,4,701,4847,4677,7039,20050,2740,4711,5688,3738,1705
69.95050621032715,1,9858,65535,30984,63333,65535,11693,65535,48203,61697,28541
