Sheet,Sensor ID,Channel,Average Frequency
100%,1,F1,4128.081081081081
100%,1,F2,28865.108108108107
100%,1,F5,65535.0
100%,1,F6,7779.2972972972975
100%,1,F7,41497.89189189189
100%,1,F8,28965.702702702703
100%,2,F1,3913.8684210526317
100%,2,F2,28970.736842105263
100%,2,F5,65535.0
100%,2,F6,7732.315789473684
100%,2,F7,44275.15789473684
100%,2,F8,44840.76315789474
100%,3,F1,2940.6315789473683
100%,3,F2,23966.105263157893
100%,3,F5,65535.0
100%,3,F6,7406.763157894737
100%,3,F7,37916.65789473684
100%,3,F8,35283.97368421053
100%,4,F1,1456.6842105263158
100%,4,F2,11731.78947368421
100%,4,F5,33816.26315789474
100%,4,F6,4774.3421052631575
100%,4,F7,15053.473684210527
100%,4,F8,16092.552631578947
50%,1,F1,6235.0
50%,1,F2,45906.0
50%,1,F5,65535.0
50%,1,F6,9401.0
50%,1,F7,59248.666666666664
50%,1,F8,38353.666666666664
50%,2,F1,5826.871794871795
50%,2,F2,45247.53846153846
50%,2,F5,65535.0
50%,2,F6,9543.0
50%,2,F7,61296.820512820515
50%,2,F8,60551.282051282054
50%,3,F1,7878.525
50%,3,F2,65535.0
50%,3,F5,65535.0
50%,3,F6,12271.475
50%,3,F7,65535.0
50%,3,F8,65535.0
50%,4,F1,1341.3846153846155
50%,4,F2,10578.25641025641
50%,4,F5,32558.51282051282
50%,4,F6,4529.5641025641025
50%,4,F7,12808.076923076924
50%,4,F8,14084.435897435897
25%,1,F1,7915.2
25%,1,F2,59147.45714285714
25%,1,F5,65535.0
25%,1,F6,10557.0
25%,1,F7,65535.0
25%,1,F8,43756.28571428572
25%,2,F1,7700.611111111111
25%,2,F2,60456.75
25%,2,F5,65535.0
25%,2,F6,11194.722222222223
25%,2,F7,65535.0
25%,2,F8,65535.0
25%,3,F1,5437.972222222223
25%,3,F2,49917.916666666664
25%,3,F5,65535.0
25%,3,F6,9806.222222222223
25%,3,F7,65535.0
25%,3,F8,56266.77777777778
25%,4,F1,1240.942857142857
25%,4,F2,9349.028571428571
25%,4,F5,32148.8
25%,4,F6,4269.057142857143
25%,4,F7,10017.342857142858
25%,4,F8,11650.657142857142
12%,1,F1,8948.727272727272
12%,1,F2,65535.0
12%,1,F5,65535.0
12%,1,F6,11236.90909090909
12%,1,F7,65535.0
12%,1,F8,46995.30303030303
12%,2,F1,8890.30303030303
12%,2,F2,65535.0
12%,2,F5,65535.0
12%,2,F6,12064.575757575758
12%,2,F7,65535.0
12%,2,F8,65535.0
12%,3,F1,6105.636363636364
12%,3,F2,58043.90909090909
12%,3,F5,65535.0
12%,3,F6,10362.757575757576
12%,3,F7,65535.0
12%,3,F8,60986.393939393936
12%,4,F1,1047.6363636363637
12%,4,F2,7594.363636363636
12%,4,F5,29189.0
12%,4,F6,4085.212121212121
12%,4,F7,7805.909090909091
12%,4,F8,9475.939393939394
1%,1,F1,9854.472222222223
1%,1,F2,65535.0
1%,1,F5,65535.0
1%,1,F6,11664.694444444445
1%,1,F7,65535.0
1%,1,F8,48240.694444444445
1%,2,F1,9912.828571428572
1%,2,F2,65535.0
1%,2,F5,65535.0
1%,2,F6,13059.857142857143
1%,2,F7,65535.0
1%,2,F8,65535.0
1%,3,F1,7142.4
1%,3,F2,65535.0
1%,3,F5,65535.0
1%,3,F6,11261.914285714285
1%,3,F7,65535.0
1%,3,F8,65535.0
1%,4,F1,695.9722222222222
1%,4,F2,4854.333333333333
1%,4,F5,19946.0
1%,4,F6,2731.972222222222
1%,4,F7,4698.583333333333
1%,4,F8,5667.25
0.78%,1,F1,9698.35294117647
0.78%,1,F2,65535.0
0.78%,1,F5,65535.0
0.78%,1,F6,11364.64705882353
0.78%,1,F7,65535.0
0.78%,1,F8,48129.64705882353
0.78%,2,F1,9860.39393939394
0.78%,2,F2,65535.0
0.78%,2,F5,65535.0
0.78%,2,F6,12960.484848484848
0.78%,2,F7,65535.0
0.78%,2,F8,65535.0
0.78%,3,F1,6357.363636363636
0.78%,3,F2,65535.0
0.78%,3,F5,65535.0
0.78%,3,F6,11631.757575757576
0.78%,3,F7,65535.0
0.78%,3,F8,64789.393939393936
0.78%,4,F1,674.6176470588235
0.78%,4,F2,4785.764705882353
0.78%,4,F5,22823.029411764706
0.78%,4,F6,2599.8529411764707
0.78%,4,F7,4601.029411764706
0.78%,4,F8,5642.176470588235
0.39%,1,F1,9681.735294117647
0.39%,1,F2,65535.0
0.39%,1,F5,65535.0
0.39%,1,F6,11353.088235294117
0.39%,1,F7,65535.0
0.39%,1,F8,48156.08823529412
0.39%,2,F1,9845.542857142857
0.39%,2,F2,65535.0
0.39%,2,F5,65535.0
0.39%,2,F6,12966.771428571428
0.39%,2,F7,65535.0
0.39%,2,F8,65535.0
0.39%,3,F1,6730.176470588235
0.39%,3,F2,65535.0
0.39%,3,F5,65535.0
0.39%,3,F6,11530.029411764706
0.39%,3,F7,65535.0
0.39%,3,F8,65535.0
0.39%,4,F1,1238.9117647058824
0.39%,4,F2,7391.323529411765
0.39%,4,F5,32051.29411764706
0.39%,4,F6,3877.5588235294117
0.39%,4,F7,6859.735294117647
0.39%,4,F8,10683.176470588236
0.5%,1,F1,10023.305555555555
0.5%,1,F2,65535.0
0.5%,1,F5,65535.0
0.5%,1,F6,12012.027777777777
0.5%,1,F7,65535.0
0.5%,1,F8,50185.11111111111
0.5%,2,F1,9946.057142857142
0.5%,2,F2,65535.0
0.5%,2,F5,65535.0
0.5%,2,F6,13116.485714285714
0.5%,2,F7,65535.0
0.5%,2,F8,65535.0
0.5%,3,F1,7204.472222222223
0.5%,3,F2,65535.0
0.5%,3,F5,65535.0
0.5%,3,F6,11313.194444444445
0.5%,3,F7,65535.0
0.5%,3,F8,65535.0
0.5%,4,F1,773.9444444444445
0.5%,4,F2,4993.972222222223
0.5%,4,F5,23899.333333333332
0.5%,4,F6,2916.0833333333335
0.5%,4,F7,4921.75
0.5%,4,F8,6491.083333333333
0%,1,F1,13174.206896551725
0%,1,F2,65535.0
0%,1,F5,65535.0
0%,1,F6,17542.5
0%,1,F7,65535.0
0%,1,F8,65535.0
0%,2,F1,9812.842105263158
0%,2,F2,65535.0
0%,2,F5,65535.0
0%,2,F6,12745.421052631578
0%,2,F7,65535.0
0%,2,F8,65535.0
0%,3,F1,7395.631578947368
0%,3,F2,65535.0
0%,3,F5,65535.0
0%,3,F6,11155.035087719298
0%,3,F7,65535.0
0%,3,F8,65535.0
0%,4,F1,1629.7543859649122
0%,4,F2,7820.929824561404
0%,4,F5,32824.333333333336
0%,4,F6,3886.561403508772
0%,4,F7,6902.175438596491
0%,4,F8,14383.192982456141
