time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
1.482579231262207,1,136,1130,3912,4166,2630,725,1367,1393,1099,642
3.5681660175323486,2,123,1359,4203,798,2772,725,1265,1166,872,487
5.64750075340271,3,4405,34147,17697,30240,65535,7670,38338,37920,27888,12563
7.728798866271973,4,51,111,3366,3419,1023,253,334,369,284,172
9.812141180038452,1,138,1128,3916,4060,2629,708,1365,1395,1104,642
11.899210691452026,2,123,1364,4240,4276,2780,724,1269,1173,873,492
13.976356506347656,3,4402,34161,17669,30229,65535,7640,38359,37921,27906,12576
16.08047318458557,4,59,106,3289,3333,1032,257,340,371,285,175
18.14276385307312,1,139,1130,2156,4137,2631,717,1369,1394,1102,646
20.22811245918274,2,123,1367,3421,3352,2784,716,1268,1173,876,489
22.32659888267517,3,4420,34226,17837,30267,65535,7826,38330,37949,27901,12577
24.387285232543945,4,56,106,3372,1970,1036,268,340,371,287,172
26.472875118255615,1,138,1124,2897,3991,2631,689,1369,1392,1100,645
28.557957410812378,2,126,1363,3838,4311,2783,725,1268,1175,872,493
30.636241674423218,3,4409,34183,17719,30258,65535,7691,38333,37935,27906,12577
32.71807932853699,4,57,111,3423,2936,1013,253,333,365,281,169
34.802562952041626,1,135,1125,3970,3582,2584,712,1345,1375,1081,633
36.904784202575684,2,125,1352,3583,4266,2723,701,1238,1148,854,482
38.96581697463989,3,4374,34113,17339,30237,65535,7768,38091,37683,27679,12463
41.04774212837219,4,32,56,35,3277,538,148,189,212,164,105
43.16370177268982,1,138,1116,3890,4135,2560,704,1335,1368,1068,635
45.21689534187317,2,120,1349,2221,4474,2698,738,1227,1139,846,479
47.295788526535034,3,4403,34201,17746,30279,65535,7731,38299,37883,27855,12539
49.414750814437866,4,41,84,3298,3366,798,208,233,262,207,145
51.46188259124756,1,138,1127,4125,4268,2615,743,1361,1388,1095,644
53.54767823219299,2,124,1365,3358,4382,2780,730,1267,1172,877,492
55.62575054168701,3,4410,34187,17662,30269,65535,7712,38331,37926,27893,12578
57.73144006729126,4,58,113,3361,1650,1051,269,342,375,290,177
59.79223084449768,1,138,1127,3946,4130,2635,717,1370,1394,1104,646
61.877660036087036,2,127,1362,3716,4314,2787,725,1268,1174,875,494
63.975218772888184,3,4401,34156,16968,30219,65535,7661,38342,37920,27892,12572
66.03778457641602,4,64,111,1043,3460,1069,274,347,378,295,181
68.12212324142456,1,136,1132,4021,4165,2631,721,1370,1397,1103,646
70.20701837539673,2,119,1348,3855,4227,2695,705,1210,1126,834,481
72.32021760940552,3,4389,34154,17690,29946,65535,7677,38157,37780,27778,12533
74.3672182559967,4,43,83,1694,1900,745,199,240,263,204,133
76.45194888114929,1,133,1123,3964,4097,2558,704,1499,1446,1131,694
78.54915285110474,2,118,1350,4193,813,2717,700,1228,1142,852,485
80.61587142944336,3,4391,34147,17668,30191,65535,7655,38205,37810,27810,12545
82.69762897491455,4,57,115,2910,3424,1052,262,338,374,287,180
84.81011295318604,1,128,1068,3505,3655,2257,649,1251,1273,939,592
86.8671932220459,2,123,1365,4256,3248,2793,728,1269,1176,876,494
88.94600701332092,3,4398,34151,17638,30175,65535,7597,38356,37930,27916,12565
91.02721548080444,4,63,114,3398,3442,1079,281,349,381,295,185
93.11218452453613,1,130,1062,3887,3981,2240,620,1260,1278,943,605
95.20774555206299,2,125,1361,4237,2910,2789,726,1267,1172,875,493
97.2753267288208,3,4408,34162,17706,30288,65535,7742,38357,37924,27896,12570
99.38741779327393,4,55,102,3330,2265,1013,269,321,358,288,184
101.44181895256042,1,119,1035,3953,4033,2075,620,1199,1183,872,586
103.52721548080444,2,122,1365,3846,1786,2790,724,1270,1176,875,491
105.64033699035645,3,4409,34157,17715,30243,65535,7693,38323,37932,27901,12583
107.68631219863892,4,57,114,74,3548,1055,269,343,376,290,181
109.77105593681335,1,119,1024,3967,4042,2083,624,1171,1155,853,574
111.85722970962524,2,120,1344,4276,1307,2660,694,1189,1107,824,466
113.93592238426208,3,4367,34030,17589,30105,65535,7586,38047,37626,27659,12477
116.0397310256958,4,28,52,3274,1145,445,124,219,248,195,141
118.10203146934509,1,120,1017,3771,3681,2091,601,1193,1175,869,576
120.18724083900452,2,126,1359,4294,4313,2792,724,1268,1173,873,497
122.26538968086243,3,4410,34144,17750,30268,65535,7727,38340,37896,27900,12563
124.34787917137146,4,58,115,3309,3358,1082,273,346,380,299,184
126.43198919296265,1,120,1015,3841,3921,2090,600,1192,1178,869,574
128.53022003173828,2,123,1359,3751,4315,2796,734,1269,1174,876,497
130.5950734615326,3,4420,34176,17796,30310,65535,7779,38343,37911,27900,12577
132.67746496200562,4,58,113,3383,1103,1088,279,347,381,300,188
134.76153683662415,1,124,1017,3968,1923,2094,617,1192,1181,873,574
136.8537368774414,2,126,1357,3565,4312,2800,739,1270,1175,877,495
138.92515873908997,3,4410,34162,17712,30239,65535,7682,38322,37914,27901,12582
141.007963180542,4,60,118,3124,3153,1126,292,352,387,304,194
143.0912504196167,1,124,1017,828,3928,2095,621,1194,1177,867,575
145.1791250705719,2,127,1361,3758,4278,2799,740,1271,1173,877,496
