Sheet,Sensor ID,Channel,Average Frequency
100%,1,F1,4128.081081
100%,1,F2,28865.10811
100%,1,F5,65535
100%,1,F6,7779.297297
100%,1,F7,41497.89189
100%,1,F8,28965.7027
100%,2,F1,3913.868421
100%,2,F2,28970.73684
100%,2,F5,65535
100%,2,F6,7732.315789
100%,2,F7,44275.15789
100%,2,F8,44840.76316
100%,3,F1,2940.631579
100%,3,3966.10526F2,2
100%,3,F5,65535
100%,3,F6,7406.763158
100%,3,F7,37916.65789
100%,3,F8,35283.97368
100%,4,F1,1456.684211
100%,4,F2,11731.78947
100%,4,F5,33816.26316
100%,4,F6,4774.342105
100%,4,F7,15053.47368
100%,4,F8,16092.55263
50%,1,F1,6235
50%,1,F2,45906
50%,1,F5,65535
50%,1,F6,9401
50%,1,F7,59248.66667
50%,1,F8,38353.66667
50%,2,F1,5826.871795
50%,2,F2,45247.53846
50%,2,F5,65535
50%,2,F6,9543
50%,2,F7,61296.82051
50%,2,F8,60551.28205
50%,3,F1,7878.525
50%,3,F2,65535
50%,3,F5,65535
50%,3,F6,12271.475
50%,3,F7,65535
50%,3,F8,65535
50%,4,F1,1341.384615
50%,4,F2,10578.25641
50%,4,F5,32558.51282
50%,4,F6,4529.564103
50%,4,F7,12808.07692
50%,4,F8,14084.4359
25%,1,F1,7915.2
25%,1,F2,59147.45714
25%,1,F5,65535
25%,1,F6,10557
25%,1,F7,65535
25%,1,F8,43756.28571
25%,2,F1,7700.611111
25%,2,F2,60456.75
25%,2,F5,65535
25%,2,F6,11194.72222
25%,2,F7,65535
25%,2,F8,65535
25%,3,F1,5437.972222
25%,3,F2,49917.91667
25%,3,F5,65535
25%,3,F6,9806.222222
25%,3,F7,65535
25%,3,F8,56266.77778
25%,4,F1,1240.942857
25%,4,F2,9349.028571
25%,4,F5,32148.8
25%,4,F6,4269.057143
25%,4,F7,10017.34286
25%,4,F8,11650.65714
12%,1,F1,8948.727273
12%,1,F2,65535
12%,1,F5,65535
12%,1,F6,11236.90909
12%,1,F7,65535
12%,1,F8,46995.30303
12%,2,F1,8890.30303
12%,2,F2,65535
12%,2,F5,65535
12%,2,F6,12064.57576
12%,2,F7,65535
12%,2,F8,65535
12%,3,F1,6105.636364
12%,3,F2,58043.90909
12%,3,F5,65535
12%,3,F6,10362.75758
12%,3,F7,65535
12%,3,F8,60986.39394
12%,4,F1,1047.636364
12%,4,F2,7594.363636
12%,4,F5,29189
12%,4,F6,4085.212121
12%,4,F7,7805.909091
12%,4,F8,9475.939394
1%,1,F1,9854.472222
1%,1,F2,65535
1%,1,F5,65535
1%,1,F6,11664.69444
1%,1,F7,65535
1%,1,F8,48240.69444
1%,2,F1,9912.828571
1%,2,F2,65535
1%,2,F5,65535
1%,2,F6,13059.85714
1%,2,F7,65535
1%,2,F8,65535
1%,3,F1,7142.4
1%,3,F2,65535
1%,3,F5,65535
1%,3,F6,11261.91429
1%,3,F7,65535
1%,3,F8,65535
1%,4,F1,695.9722222
1%,4,F2,4854.333333
1%,4,F5,19946
1%,4,F6,2731.972222
1%,4,F7,4698.583333
1%,4,F8,5667.25
0.78%,1,F1,9698.352941
0.78%,1,F2,65535
0.78%,1,F5,65535
0.78%,1,F6,11364.64706
0.78%,1,F7,65535
0.78%,1,F8,48129.64706
0.78%,2,F1,9860.393939
0.78%,2,F2,65535
0.78%,2,F5,65535
0.78%,2,F6,12960.48485
0.78%,2,F7,65535
0.78%,2,F8,65535
0.78%,3,F1,6357.363636
0.78%,3,F2,65535
0.78%,3,F5,65535
0.78%,3,F6,11631.75758
0.78%,3,F7,65535
0.78%,3,F8,64789.39394
0.78%,4,F1,674.6176471
0.78%,4,F2,4785.764706
0.78%,4,F5,22823.02941
0.78%,4,F6,2599.852941
0.78%,4,F7,4601.029412
0.78%,4,F8,5642.176471
0.39%,1,F1,9681.735294
0.39%,1,F2,65535
0.39%,1,F5,65535
0.39%,1,F6,11353.08824
0.39%,1,F7,65535
0.39%,1,F8,48156.08824
0.39%,2,F1,9845.542857
0.39%,2,F2,65535
0.39%,2,F5,65535
0.39%,2,F6,12966.77143
0.39%,2,F7,65535
0.39%,2,F8,65535
0.39%,3,F1,6730.176471
0.39%,3,F2,65535
0.39%,3,F5,65535
0.39%,3,F6,11530.02941
0.39%,3,F7,65535
0.39%,3,F8,65535
0.39%,4,F1,1238.911765
0.39%,4,F2,7391.323529
0.39%,4,F5,32051.29412
0.39%,4,F6,3877.558824
0.39%,4,F7,6859.735294
0.39%,4,F8,10683.17647
0.50%,1,F1,10023.30556
0.50%,1,F2,65535
0.50%,1,F5,65535
0.50%,1,F6,12012.02778
0.50%,1,F7,65535
0.50%,1,F8,50185.11111
0.50%,2,F1,9946.057143
0.50%,2,F2,65535
0.50%,2,F5,65535
0.50%,2,F6,13116.48571
0.50%,2,F7,65535
0.50%,2,F8,65535
0.50%,3,F1,7204.472222
0.50%,3,F2,65535
0.50%,3,F5,65535
0.50%,3,F6,11313.19444
0.50%,3,F7,65535
0.50%,3,F8,65535
0.50%,4,F1,773.9444444
0.50%,4,F2,4993.972222
0.50%,4,F5,23899.33333
0.50%,4,F6,2916.083333
0.50%,4,F7,4921.75
0.50%,4,F8,6491.083333
0%,1,F1,13174.2069
0%,1,F2,65535
0%,1,F5,65535
0%,1,F6,17542.5
0%,1,F7,65535
0%,1,F8,65535
0%,2,F1,9812.842105
0%,2,F2,65535
0%,2,F5,65535
0%,2,F6,12745.42105
0%,2,F7,65535
0%,2,F8,65535
0%,3,F1,7395.631579
0%,3,F2,65535
0%,3,F5,65535
0%,3,F6,11155.03509
0%,3,F7,65535
0%,3,F8,65535
0%,4,F1,1629.754386
0%,4,F2,7820.929825
0%,4,F5,32824.33333
0%,4,F6,3886.561404
0%,4,F7,6902.175439
0%,4,F8,14383.19298
