time (h),original OD,predicted OD,upper bound,lower bound,,,,time (h),original OD,predicted OD,upper bound,lower bound,,time (h),original OD,predicted OD,upper bound,lower bound
0.5,0,0.00685368,0.014301534,-0.000594174,,,,1,0,0.002132628,0.003091425,0.001173831,,1,0.001,0.00252497,0.003674978,0.001374962
1,0,0.00685368,0.01477323,-0.001065869,,,,2,0.001,0.002301827,0.003554907,0.001048748,,2,0.003,0.003141802,0.007304114,-0.00102051
1.5,0.002,0.00685368,0.016907945,-0.003200585,,,,3,0.003,0.002774414,0.005182213,0.000366615,,3,0.01,0.006898963,0.018979852,-0.005181927
2,0.007,0.008175528,0.023934565,-0.007583509,,,,4,0.005,0.003876627,0.007803649,-5.04E-05,,4,0.031,0.018511308,0.050851767,-0.013829151
2.5,0.02,0.014680006,0.0500651,-0.020705089,,,,5,0.011,0.006592059,0.014222795,-0.001038677,,5,0.082,0.049170423,0.119232499,-0.020891653
3,0.054,0.032929271,0.115266824,-0.049408283,,,,6,0.019,0.011068004,0.025811209,-0.003675201,,6,0.23,0.144481013,0.246694067,0.042267959
3.5,0.13,0.074235578,0.222113342,-0.073642185,,,,7,0.036,0.020559886,0.049275937,-0.008156166,,7,0.433,0.276468398,0.399501564,0.153435232
4,0.288,0.166134559,0.379066022,-0.046796904,,,,8,0.066,0.038623796,0.095054618,-0.017807025,,8,0.595,0.458604435,0.591652025,0.325556845
4.5,0.438,0.273489566,0.522398787,0.024580345,,,,9,0.13,0.075537712,0.175454595,-0.024379171,,9,0.739,0.640193346,0.762896896,0.517489795
5,0.559,0.391557551,0.641025284,0.142089817,,,,10,0.265,0.154795732,0.320649534,-0.01105807,,10,0.857,0.782651688,0.872549674,0.692753701
5.5,0.639,0.52826792,0.743211993,0.313323847,,,,11,0.45,0.276067509,0.510990907,0.041144111,,11,0.905,0.862366299,0.926378354,0.798354244
6,0.704,0.646843692,0.806899631,0.486787752,,,,12,0.711,0.443857137,0.705423388,0.182290886,,12,0.95,0.929476768,0.978130271,0.880823264
6.5,0.759,0.723172103,0.822309828,0.624034378,,,,13,0.899,0.607962598,0.848202226,0.367722971,,13,0.988,0.958924746,1.00049981,0.917349681
7,0.809,0.781278084,0.837320267,0.7252359,,,,14,0.909,0.752833242,0.955768835,0.549897649,,14,1.022,0.986868262,1.025968701,0.947767823
7.5,0.841,0.825373828,0.859762975,0.790984682,,,,15,0.944,0.915206417,1.055089322,0.775323512,,15,1.056,1.01099814,1.051214348,0.970781931
8,0.864,0.86066773,0.881854278,0.839481182,,,,16,0.978,0.946469188,1.01440573,0.878532645,,16,1.075,1.042625835,1.081484379,1.00376729
