time (h),Upper Bound,Lower Bound
1,0.07798357644240564,0.0
2,0.1101826377838886,0.0
3,0.13504529944772103,0.0
4,0.1563383044367213,0.0
5,0.1760392656071299,0.0
6,0.19436081857288096,0.0
7,0.21170795668660222,0.0
8,0.2293661584914942,0.0
9,0.24813139145593838,0.0
10,0.26992089998816393,0.0
11,0.2969205247006668,0.0
12,0.3335055086719957,0.0
13,0.3863887986306668,0.0
14,0.466414766171687,0.0
15,0.6701571321764928,0.06953526461826359
16,0.6800050960749981,0.059687300719758196
17,0.6895496779097204,0.05014271888503585
18,0.7696188386719192,0.11167660266749413
19,0.8500288370120435,0.17405961276412923
20,0.9437749216143507,0.2502466485714696
21,1.0664736849921548,0.35581962040487886
22,1.1892166012798593,0.4618394599085206
23,1.1973902994288141,0.4536657617595659
