time (h),Upper Bound,Lower Bound
1,0.5860171689113248,0.0
2,0.5860673598603253,0.0
3,0.5862895936934062,0.0
4,0.5867953821137345,0.0
5,0.5881899302950153,0.0
6,0.5899157344665876,0.0
7,0.5919736501417721,0.0
8,0.5954671364573244,0.0
9,0.6008699637240698,0.0
10,0.6099153531397122,0.0
11,0.6248155446319272,0.0
12,0.6498464728824546,0.0
13,0.6915486165413441,0.0
14,0.760957912320881,0.0
15,0.9545649148478395,0.0
16,0.9545660067910586,0.0
17,0.958117764692604,0.0
18,1.0434845132592347,0.0
19,1.1267357504953268,0.0
20,1.3187838737224238,0.15008671640806437
21,1.41623861577707,0.24753880514107662
22,1.4477782153461782,0.2790758109714182
23,1.4748826040240886,0.3061776545233764
24,1.5175215594723686,0.348814061010394
25,1.513834398262766,0.3451243030299077
26,1.5182900635217091,0.3495772969907064
27,1.5067344972778385,0.33801899658749246
28,1.4857066354778303,0.31698885742556127
29,1.3492312884029105,0.18051118595437676
30,1.3446807300871573,0.17595827720304713
31,1.3349180547363035,0.16619319935972776
32,1.1850963528536158,0.01636907750543004
33,1.1844592211089746,0.01572951749541207
34,1.1160933886376245,0.0
35,1.116048867721577,0.0
36,1.1154684460064097,0.0
37,1.0485249678613613,0.0
38,1.0438407342638567,0.0
39,1.0422674519865402,0.0
40,1.0392266834332131,0.0
41,1.0391581754135228,0.0
42,1.0346171970472384,0.0
43,1.03461594852264,0.0
44,0.9634454183915361,0.0
45,0.9605535116682273,0.0
46,0.9605532642792598,0.0
47,0.9581357388416551,0.0
