time (h),Upper Bound,Lower Bound
0.0,0.02098092172876932,0.02098092172876932
0.5,0.10913907686656094,0.02058686678821469
1.0,0.17247843225148562,0.04724669243547079
1.5,0.2764850251090515,0.12310810822129364
2.0,0.2883487571478979,0.1112443761824472
2.5,0.6265458105625541,0.4285371251283257
3.0,0.9637438888836637,0.7468362371634708
3.5,1.3001793437802145,1.0658922762072733
4.0,1.6360201194062456,1.3855567405447737
4.5,1.765258730569391,1.4996022165627196
5.0,1.8940756153700093,1.6140490794542093
5.5,2.0225136082333943,1.7288193447428326
6.0,2.181936931804446,1.8751833198511325
6.5,2.1905690987593185,1.8712898509019362
7.0,2.203675382566615,1.872343687581853
7.5,2.222081208206723,1.8791203403696313
8.0,2.2484197188016677,1.8942112731340617
8.5,2.298912552909243,1.9338028153616311
9.0,2.324423004153363,1.9487281932801088
9.5,2.3504432126739405,1.964453614070139
10.0,2.3829987396975643,1.9869820056179872
10.5,2.3854398387152895,1.9796435314934508
11.0,2.387855247776215,1.9725093705251768
11.5,2.3901594199684943,1.9654786119910392
12.0,2.385808592495214,1.9519937556416873
12.5,2.394766063555569,1.9520056296741062
13.0,2.4042608931415383,1.952732066834658
13.5,2.4109181216257114,1.950787939737509
14.0,2.425338263883488,1.9567646547413902
14.5,2.402227263366021,1.9253597641837223
15.0,2.387557397667071,1.9025378553236516
15.5,2.371255978995461,1.87821915203939
16.0,2.3563078894524763,1.855382097730141
16.5,2.357657271053493,1.848964847896397
17.0,2.355641260653748,1.8392990345656735
17.5,2.3476053214621513,1.823725008909705
18.0,2.3345953915841537,1.8032839466803117
18.5,2.331935383662873,1.7932952791598502
19.0,2.357309572883997,1.811439106277075
19.5,2.3571525877584616,1.80414627374514
20.0,2.3608257977270224,1.8007745226121807
20.5,2.364302060211573,1.7972934130779166
21.0,2.367223665404748,1.7933419397588266
21.5,2.3692527652409807,1.7885793995234232
22.0,2.3828089576524185,1.7954224819380358
22.5,2.3865242886173528,1.7925004578006467
23.0,2.3933655122491877,1.7927777310636486
