time (h),Upper Bound,Lower Bound
0.0,0.08088523638783954,0.08088523638783954
0.5,0.17577801546311767,0.0
1.0,0.21508386761588258,0.0
1.5,0.28045249012329915,0.0
2.0,0.3441642207059328,0.0
2.5,0.3980044134228675,0.0
3.0,1.0754224021072298,0.6105454402332394
3.5,1.4189549731522826,0.9168304396361084
4.0,1.8874692676099256,1.3506753423182056
4.5,1.9037504540486125,1.3343941558795187
5.0,2.045202142411149,1.445047694033706
5.5,2.06323762505991,1.4337903109218404
6.0,2.1584646585878198,1.5010284539762673
6.5,2.3800356790130652,1.6957543924743617
7.0,2.4130448370240067,1.7029324383475446
7.5,2.438499837321287,1.7034636851129479
8.0,2.467521157897686,1.7083792966234932
8.5,2.499445396746626,1.7169398175821402
9.0,2.5337638954882786,1.7285720725293
9.5,2.562851891873615,1.7355957266108815
10.0,2.5969248213170606,1.7481779657007617
10.5,2.610807549140057,1.7411006053475533
11.0,2.6200614265402127,1.7298875876466469
11.5,2.632546259797178,1.7223656636113303
12.0,2.6364917067864964,1.706734907211917
12.5,2.656365386941067,1.707436249754795
13.0,2.6734675409936495,1.7057457825994906
13.5,2.6886802163211856,1.7025237116725889
14.0,2.6962343045301207,1.6919813374452826
14.5,2.683522578155664,1.6614936009291132
15.0,2.663243673871847,1.6237425913106485
15.5,2.6434173241694277,1.5867332371632756
16.0,2.6310000412839765,1.5574082548242698
16.5,2.6332604685449983,1.5430234512662508
17.0,2.634406862765528,1.5277745742500053
17.5,2.6274050259236748,1.5046165061350414
18.0,2.631852735593842,1.493137200757934
18.5,2.6554405912767263,1.5010177579511788
19.0,2.6688047891597826,1.498885695363991
19.5,2.677915976027956,1.4927031016545393
20.0,2.6873558765373815,1.4870440334357624
20.5,2.6949950655337704,1.4797720996502508
21.0,2.705469965144002,1.4755170114795326
21.5,2.71661047901367,1.4721019152238481
22.0,2.7284942594994934,1.4695984133253666
22.5,2.7385902078534246,1.4654697124575495
23.0,2.749849814377967,1.4626615796459284
